NPD_ID;Noise Metric;Op Mode;Power Setting;L_200ft;L_400ft;L_630ft;L_1000ft;L_2000ft;L_4000ft;L_6300ft;L_10000ft;L_16000ft;L_25000ft
2CF650;EPNL;A;10000;106.2;101.1;97.2;92.5;84.2;75;68;61.4;53.4;43.3
2CF650;EPNL;A;25000;109.8;105.1;101.5;97.3;90.3;82;76;70;62.7;53.9
2CF650;EPNL;D;25000;109.8;105.1;101.5;97.3;90.3;82;76;70;62.7;53.9
2CF650;EPNL;D;40000;113;108.6;105.2;101.5;95.6;88.2;83.1;77.5;70.8;63.3
2CF650;LAmax;A;10000;99.2;91.9;86.7;81;72.1;63;56.7;49.6;41.6;33.1
2CF650;LAmax;A;25000;105.3;98.3;93.4;88;79.5;70.5;64.3;57.4;49.7;41.5
2CF650;LAmax;D;25000;105.3;98.3;93.4;88;79.5;70.5;64.3;57.4;49.7;41.5
2CF650;LAmax;D;40000;109.1;102.3;97.6;92.5;84.3;75.4;69.3;62.6;55.1;47.2
2CF650;PNLTM;A;10000;113.8;105.9;100.2;93.6;82.5;70.5;61.7;53.2;43.3;31.4
2CF650;PNLTM;A;25000;117.4;109.9;104.5;98.4;88.6;77.5;69.7;61.8;52.6;42
2CF650;PNLTM;D;25000;117.4;109.9;104.5;98.4;88.6;77.5;69.7;61.8;52.6;42
2CF650;PNLTM;D;40000;120.6;113.4;108.2;102.6;93.9;83.7;76.8;69.3;60.7;51.4
2CF650;SEL;A;10000;99.9;95;91.4;87.5;81.3;74.6;69.7;64.2;57.7;50.7
2CF650;SEL;A;25000;103.7;99.3;96.1;92.7;87.1;80.6;75.8;70.5;64.3;57.5
2CF650;SEL;D;25000;103.7;99.3;96.1;92.7;87.1;80.6;75.8;70.5;64.3;57.5
2CF650;SEL;D;40000;106.8;102.9;100.1;97.1;92;85.8;81;75.9;69.9;63.4
2CF680;EPNL;A;7000;104.4;99.5;95.8;91.6;84.1;76.3;71.1;65.8;60.3;55.1
2CF680;EPNL;A;12000;106.5;101.5;97.7;93.5;85.7;78.1;73;67.9;62.6;57.6
2CF680;EPNL;D;17000;107.1;102.5;99.1;94.5;86.9;79.5;75.3;69.5;64;58.4
2CF680;EPNL;D;25000;107.4;102.9;99.5;95.9;89.2;82.2;77.4;71.8;65.9;59.8
2CF680;EPNL;D;33000;107.7;103.7;100.7;97.1;91.8;85.5;80.7;75.2;69;62.6
2CF680;EPNL;D;41000;111.6;107.8;105;102.1;96.9;90.6;85.8;80.3;74.1;67.7
2CF680;LAmax;A;7000;96.3;89.8;85.2;80.2;71.9;63.2;56.9;50.8;44.1;37.7
2CF680;LAmax;A;12000;97.5;90.9;86.3;81.3;73;64.4;58.3;52.3;45.8;39.6
2CF680;LAmax;D;17000;98.2;91.5;87;82.1;74.2;65.8;59.7;53.6;46.9;40.4
2CF680;LAmax;D;25000;98.5;92.6;88.3;83.7;76.4;68;62;55.6;48.7;41.8
2CF680;LAmax;D;33000;101.5;95.8;91.7;87.3;80.2;71.8;65.8;59.4;52.5;45.5
2CF680;LAmax;D;41000;104.4;99;95.2;91;84.1;75.8;69.7;63.2;56;48.8
2CF680;PNLTM;A;7000;112;104.3;98.8;92.7;82.4;71.8;64.8;57.6;50.2;43.2
2CF680;PNLTM;A;12000;114.1;106.3;100.7;94.6;84;73.6;66.7;59.7;52.5;45.7
2CF680;PNLTM;D;17000;114.7;107.3;102.1;95.6;85.2;75;69;61.3;53.9;46.5
2CF680;PNLTM;D;25000;115;107.7;102.5;97;87.5;77.7;71.1;63.6;55.8;47.9
2CF680;PNLTM;D;33000;115.3;108.5;103.7;98.2;90.1;81;74.4;67;58.9;50.7
2CF680;PNLTM;D;41000;119.2;112.6;108;103.2;95.2;86.1;79.5;72.1;64;55.8
2CF680;SEL;A;7000;98.1;93.9;90.8;87.4;81.4;75;70.3;65.7;60.6;55.7
2CF680;SEL;A;12000;99.3;95;91.9;88.5;82.5;76.2;71.7;67.2;62.3;57.6
2CF680;SEL;D;17000;100;95.6;92.6;89.3;83.7;77.6;73.1;68.5;63.4;58.4
2CF680;SEL;D;25000;100.3;96.7;93.9;90.9;85.9;79.8;75.4;70.5;65.2;59.8
2CF680;SEL;D;33000;103.3;99.9;97.3;94.5;89.7;83.6;79.2;74.3;69;63.5
2CF680;SEL;D;41000;106.2;103.1;100.8;98.2;93.6;87.6;83.1;78.1;72.5;66.8
2CF68D;EPNL;A;10020;101.6;97;93;89;82.1;75.5;70.1;64.3;58.1;52.3
2CF68D;EPNL;A;23190;110.9;106;102.2;98.7;90.1;81.7;75.7;69.3;62.5;55.9
2CF68D;EPNL;D;25940;110.7;104.2;100.2;96.2;89.5;81.2;75.2;68.4;61.2;54.2
2CF68D;EPNL;D;39180;112.2;106.7;103.2;99.5;93.2;86.2;80.7;74.2;67.2;60.2
2CF68D;EPNL;D;51530;114.7;110.2;107.2;104.2;98.7;92.4;88;82;75.2;68.5
2CF68D;EPNL;D;55500;117.2;112.7;110;107.2;101.8;96.2;91.7;86.7;80.2;73.7
2CF68D;LAmax;A;10020;97.7;91;85.8;81.1;73;64.5;58.5;51.7;44.8;38.3
2CF68D;LAmax;A;23190;103.3;96.5;91.5;86.5;77.5;68.3;61.7;54.6;47.5;40.4
2CF68D;LAmax;D;25940;101.9;94.6;89.8;85;77.5;68.9;62.6;55.3;47.5;37.2
2CF68D;LAmax;D;39180;104.2;97.6;93.1;89;81.7;73.4;66.8;60.1;52.2;42.2
2CF68D;LAmax;D;51530;108.4;102.1;97.8;93.5;86.7;78.9;72.8;66.3;58.7;49.2
2CF68D;LAmax;D;55500;111.4;105.1;100.8;96.5;88.7;82.4;76.3;70.3;62.7;54
2CF68D;PNLTM;A;10020;109.2;101.8;96;90.1;80.4;71;63.8;56.1;48;40.4
2CF68D;PNLTM;A;23190;118.5;110.8;105.2;99.8;88.4;77.2;69.4;61.1;52.4;44
2CF68D;PNLTM;D;25940;118.3;109;103.2;97.3;87.8;76.7;68.9;60.2;51.1;42.3
2CF68D;PNLTM;D;39180;119.8;111.5;106.2;100.6;91.5;81.7;74.4;66;57.1;48.3
2CF68D;PNLTM;D;51530;122.3;115;110.2;105.3;97;87.9;81.7;73.8;65.1;56.6
2CF68D;PNLTM;D;55500;124.8;117.5;113;108.3;100.1;91.7;85.4;78.5;70.1;61.8
2CF68D;SEL;A;10020;99.5;95.1;91.4;88.3;82.5;76.3;71.9;66.6;61.3;56.3
