,name,date,time,long,lat,altitude_ft,speed,aircraft
0,TLM116-1664732580-schedule-0836,2022-10-04,17:23:06,100.59713,13.89892,700,168,AA
1,TLM116-1664732580-schedule-0836,2022-10-04,17:23:22,100.59015,13.88681,1100,184,AA
2,TLM116-1664732580-schedule-0836,2022-10-04,17:23:38,100.58374,13.8755,1700,183,AA
3,TLM116-1664732580-schedule-0836,2022-10-04,17:23:54,100.57333,13.86586,2100,198,AA
4,TLM116-1664732580-schedule-0836,2022-10-04,17:24:10,100.55725,13.862,2400,220,AA
5,TLM116-1664732580-schedule-0836,2022-10-04,17:24:33,100.53257,13.85646,2900,252,AA
6,TLM116-1664732580-schedule-0836,2022-10-04,17:24:51,100.51025,13.84999,3300,274,AA
7,TLM116-1664732580-schedule-0836,2022-10-04,17:25:12,100.48479,13.84021,4100,283,AA
8,TLM116-1664732580-schedule-0836,2022-10-04,17:25:30,100.46471,13.8251,4900,285,AA
9,TLM116-1664732580-schedule-0836,2022-10-04,17:25:46,100.44882,13.81019,5600,288,AA
10,TLM116-1664732580-schedule-0836,2022-10-04,17:26:02,100.43393,13.79626,6300,289,AA
11,TLM116-1664732580-schedule-0836,2022-10-04,17:26:22,100.42058,13.77397,7200,285,AA
12,TLM116-1664732580-schedule-0836,2022-10-04,17:26:40,100.41995,13.74925,7900,281,AA
13,TLM116-1664732580-schedule-0836,2022-10-04,17:26:56,100.42304,13.73063,8500,283,AA
14,TLM116-1664732580-schedule-0836,2022-10-04,17:27:26,100.44048,13.69427,9700,282,AA
15,TLM116-1664732580-schedule-0836,2022-10-04,17:27:57,100.46168,13.65623,10700,303,AA
16,TLM116-1664732580-schedule-0836,2022-10-04,17:28:27,100.48233,13.61861,11100,333,AA
17,TLM116-1664732580-schedule-0836,2022-10-04,17:28:58,100.50606,13.57507,12000,350,AA
18,TLM116-1664732580-schedule-0836,2022-10-04,17:29:28,100.52945,13.53232,13000,354,AA
19,TLM116-1664732580-schedule-0836,2022-10-04,17:29:58,100.55398,13.48741,14000,366,AA
20,TLM116-1664732580-schedule-0836,2022-10-04,17:30:29,100.5794,13.44098,15300,374,AA
