fa_flight_id,altitude,altitude_change,groundspeed,heading,latitude,longitude,timestamp,update_type
AIQ3252-1669936380-schedule-0445,3,C,167,210,13.90425,100.59987,2022-12-03T23:17:00Z,A
AIQ3252-1669936380-schedule-0445,8,C,172,210,13.89375,100.59362,2022-12-03T23:17:16Z,A
AIQ3252-1669936380-schedule-0445,14,C,174,209,13.88141,100.5867,2022-12-03T23:17:33Z,A
AIQ3252-1669936380-schedule-0445,20,C,178,224,13.87057,100.5793,2022-12-03T23:17:49Z,A
AIQ3252-1669936380-schedule-0445,25,C,180,250,13.86465,100.56781,2022-12-03T23:18:05Z,A
AIQ3252-1669936380-schedule-0445,34,C,195,254,13.85724,100.54214,2022-12-03T23:18:35Z,A
AIQ3252-1669936380-schedule-0445,38,C,235,255,13.84982,100.51534,2022-12-03T23:19:02Z,A
AIQ3252-1669936380-schedule-0445,45,C,244,254,13.84451,100.49682,2022-12-03T23:19:18Z,A
AIQ3252-1669936380-schedule-0445,57,C,235,233,13.83467,100.47674,2022-12-03T23:19:39Z,A
AIQ3252-1669936380-schedule-0445,68,C,233,226,13.8187,100.45941,2022-12-03T23:20:00Z,A
AIQ3252-1669936380-schedule-0445,79,C,237,228,13.80217,100.44142,2022-12-03T23:20:22Z,A
AIQ3252-1669936380-schedule-0445,86,C,243,217,13.78877,100.42853,2022-12-03T23:20:38Z,A
AIQ3252-1669936380-schedule-0445,95,C,240,192,13.76931,100.42053,2022-12-03T23:20:57Z,A
AIQ3252-1669936380-schedule-0445,113,C,239,175,13.72844,100.42309,2022-12-03T23:21:35Z,A
AIQ3252-1669936380-schedule-0445,122,C,265,175,13.69227,100.42631,2022-12-03T23:22:05Z,A
AIQ3252-1669936380-schedule-0445,125,C,287,167,13.67114,100.4293,2022-12-03T23:22:23Z,A
AIQ3252-1669936380-schedule-0445,129,C,305,141,13.64717,100.44255,2022-12-03T23:22:42Z,A
AIQ3252-1669936380-schedule-0445,132,C,327,108,13.6311,100.47007,2022-12-03T23:23:03Z,A
AIQ3252-1669936380-schedule-0445,137,C,353,93,13.62515,100.50781,2022-12-03T23:23:26Z,A
AIQ3252-1669936380-schedule-0445,143,C,360,72,13.62946,100.53518,2022-12-03T23:23:43Z,A
AIQ3252-1669936380-schedule-0445,159,C,380,57,13.67143,100.60484,2022-12-03T23:24:29Z,A
AIQ3252-1669936380-schedule-0445,166,C,389,55,13.69386,100.64007,2022-12-03T23:24:52Z,A
AIQ3252-1669936380-schedule-0445,178,C,394,39,13.73195,100.67866,2022-12-03T23:25:22Z,A
AIQ3252-1669936380-schedule-0445,188,C,400,39,13.7748,100.71423,2022-12-03T23:25:52Z,A
AIQ3252-1669936380-schedule-0445,197,C,407,39,13.82016,100.75187,2022-12-03T23:26:23Z,A
AIQ3252-1669936380-schedule-0445,207,C,409,39,13.86405,100.78843,2022-12-03T23:26:53Z,A
AIQ3252-1669936380-schedule-0445,217,C,410,39,13.90778,100.82485,2022-12-03T23:27:23Z,A
AIQ3252-1669936380-schedule-0445,224,C,419,39,13.95329,100.86278,2022-12-03T23:27:53Z,A
AIQ3252-1669936380-schedule-0445,230,C,427,39,14.00171,100.90289,2022-12-03T23:28:24Z,A
AIQ3252-1669936380-schedule-0445,239,C,427,39,14.04709,100.94079,2022-12-03T23:28:54Z,A
AIQ3252-1669936380-schedule-0445,255,C,405,39,14.0909,100.97732,2022-12-03T23:29:24Z,A
AIQ3252-1669936380-schedule-0445,270,C,396,39,14.13817,101.01668,2022-12-03T23:29:55Z,A
AIQ3252-1669936380-schedule-0445,270,C,410,39,14.18489,101.05572,2022-12-03T23:30:29Z,A
AIQ3252-1669936380-schedule-0445,270,-,412,39,14.24419,101.10525,2022-12-03T23:31:08Z,A
AIQ3252-1669936380-schedule-0445,270,-,412,39,14.28896,101.14265,2022-12-03T23:31:38Z,A
AIQ3252-1669936380-schedule-0445,270,-,412,39,14.3325,101.17907,2022-12-03T23:32:08Z,A
AIQ3252-1669936380-schedule-0445,270,-,409,39,14.37781,101.21695,2022-12-03T23:32:38Z,A
AIQ3252-1669936380-schedule-0445,270,-,408,39,14.42184,101.25376,2022-12-03T23:33:08Z,A
AIQ3252-1669936380-schedule-0445,270,D,408,39,14.46465,101.28968,2022-12-03T23:33:38Z,A
AIQ3252-1669936380-schedule-0445,270,-,409,39,14.5112,101.32856,2022-12-03T23:34:09Z,A
AIQ3252-1669936380-schedule-0445,270,C,409,39,14.5546,101.36497,2022-12-03T23:34:39Z,A
AIQ3252-1669936380-schedule-0445,270,-,408,39,14.5995,101.40262,2022-12-03T23:35:09Z,A
AIQ3252-1669936380-schedule-0445,270,-,410,37,14.63177,101.42881,2022-12-03T23:35:31Z,A
AIQ3252-1669936380-schedule-0445,270,-,410,36,14.68025,101.46447,2022-12-03T23:36:03Z,A
AIQ3252-1669936380-schedule-0445,270,C,411,36,14.72778,101.4996,2022-12-03T23:36:33Z,A
AIQ3252-1669936380-schedule-0445,270,D,411,36,14.77386,101.53366,2022-12-03T23:37:03Z,A
AIQ3252-1669936380-schedule-0445,270,-,411,36,14.8207,101.56836,2022-12-03T23:37:33Z,A
AIQ3252-1669936380-schedule-0445,270,-,412,36,14.8673,101.60279,2022-12-03T23:38:03Z,A
AIQ3252-1669936380-schedule-0445,270,C,411,36,14.9166,101.63934,2022-12-03T23:38:35Z,A
AIQ3252-1669936380-schedule-0445,270,-,411,36,14.96274,101.6736,2022-12-03T23:39:05Z,A
AIQ3252-1669936380-schedule-0445,270,D,413,36,15.00988,101.70853,2022-12-03T23:39:35Z,A
AIQ3252-1669936380-schedule-0445,270,-,412,36,15.05621,101.74289,2022-12-03T23:40:05Z,A
AIQ3252-1669936380-schedule-0445,270,C,411,36,15.10272,101.77744,2022-12-03T23:40:35Z,A
AIQ3252-1669936380-schedule-0445,270,D,411,36,15.14991,101.81246,2022-12-03T23:41:05Z,A
AIQ3252-1669936380-schedule-0445,266,D,403,36,15.19544,101.8463,2022-12-03T23:41:35Z,A
AIQ3252-1669936380-schedule-0445,259,D,398,36,15.24037,101.87969,2022-12-03T23:42:05Z,A
AIQ3252-1669936380-schedule-0445,248,D,393,36,15.28583,101.91332,2022-12-03T23:42:35Z,A
AIQ3252-1669936380-schedule-0445,238,D,390,36,15.33026,101.9465,2022-12-03T23:43:06Z,A
AIQ3252-1669936380-schedule-0445,228,D,387,36,15.37294,101.97837,2022-12-03T23:43:36Z,A
AIQ3252-1669936380-schedule-0445,218,D,384,36,15.42714,102.0188,2022-12-03T23:44:13Z,A
AIQ3252-1669936380-schedule-0445,208,D,382,36,15.47038,102.05112,2022-12-03T23:44:43Z,A
AIQ3252-1669936380-schedule-0445,197,D,379,36,15.51375,102.08342,2022-12-03T23:45:13Z,A
AIQ3252-1669936380-schedule-0445,190,D,376,36,15.55678,102.11551,2022-12-03T23:45:43Z,A
AIQ3252-1669936380-schedule-0445,178,D,373,36,15.60059,102.14804,2022-12-03T23:46:14Z,A
AIQ3252-1669936380-schedule-0445,169,D,369,36,15.64211,102.17916,2022-12-03T23:46:44Z,A
AIQ3252-1669936380-schedule-0445,159,D,365,36,15.68848,102.21381,2022-12-03T23:47:18Z,A
AIQ3252-1669936380-schedule-0445,150,D,361,36,15.73386,102.2477,2022-12-03T23:47:51Z,A
AIQ3252-1669936380-schedule-0445,140,D,357,36,15.7759,102.27904,2022-12-03T23:48:22Z,A
AIQ3252-1669936380-schedule-0445,130,D,347,36,15.82118,102.31307,2022-12-03T23:48:56Z,A
AIQ3252-1669936380-schedule-0445,121,D,337,36,15.85995,102.34213,2022-12-03T23:49:26Z,A
AIQ3252-1669936380-schedule-0445,112,D,328,36,15.8974,102.37002,2022-12-03T23:49:56Z,A
AIQ3252-1669936380-schedule-0445,104,D,319,36,15.93385,102.39738,2022-12-03T23:50:26Z,A
AIQ3252-1669936380-schedule-0445,100,D,298,36,15.96936,102.42409,2022-12-03T23:50:57Z,A
AIQ3252-1669936380-schedule-0445,94,D,290,36,16.00201,102.44854,2022-12-03T23:51:27Z,A
AIQ3252-1669936380-schedule-0445,87,D,285,36,16.034,102.47266,2022-12-03T23:51:57Z,A
AIQ3252-1669936380-schedule-0445,79,D,280,36,16.06657,102.49724,2022-12-03T23:52:27Z,A
AIQ3252-1669936380-schedule-0445,71,D,278,36,16.09758,102.52066,2022-12-03T23:52:57Z,A
AIQ3252-1669936380-schedule-0445,62,D,278,36,16.12905,102.54418,2022-12-03T23:53:27Z,A
