fa_flight_id,altitude,altitude_change,groundspeed,heading,latitude,longitude,timestamp,update_type
NOK340-1669938420-schedule-0407,27,C,156,245,13.85556,100.55576,2022-12-03T23:56:08Z,M
NOK340-1669938420-schedule-0407,32,C,184,253,13.8506,100.53977,2022-12-03T23:56:25Z,M
NOK340-1669938420-schedule-0407,42,C,284,266,13.84719,100.51631,2022-12-03T23:56:47Z,M
NOK340-1669938420-schedule-0407,48,C,174,262,13.84461,100.49826,2022-12-03T23:57:05Z,M
NOK340-1669938420-schedule-0407,59,C,196,251,13.83338,100.46656,2022-12-03T23:57:37Z,M
NOK340-1669938420-schedule-0407,66,C,184,234,13.81934,100.45488,2022-12-03T23:57:54Z,M
NOK340-1669938420-schedule-0407,76,C,232,222,13.79814,100.43532,2022-12-03T23:58:21Z,M
NOK340-1669938420-schedule-0407,83,C,298,219,13.78107,100.421,2022-12-03T23:58:42Z,M
NOK340-1669938420-schedule-0407,94,C,218,175,13.74427,100.41816,2022-12-03T23:59:19Z,M
NOK340-1669938420-schedule-0407,100,C,216,173,13.73017,100.42326,2022-12-03T23:59:36Z,M
NOK340-1669938420-schedule-0407,107,C,206,172,13.71258,100.42366,2022-12-03T23:59:52Z,M
NOK340-1669938420-schedule-0407,116,C,202,173,13.68419,100.42588,2022-12-04T00:00:22Z,M
NOK340-1669938420-schedule-0407,127,C,194,174,13.65596,100.4297,2022-12-04T00:00:55Z,M
NOK340-1669938420-schedule-0407,135,C,186,120,13.62969,100.43924,2022-12-04T00:01:26Z,M
NOK340-1669938420-schedule-0407,139,C,188,103,13.62544,100.46114,2022-12-04T00:01:44Z,M
NOK340-1669938420-schedule-0407,145,C,186,98,13.62297,100.48054,2022-12-04T00:02:05Z,M
NOK340-1669938420-schedule-0407,152,C,188,99,13.62264,100.50804,2022-12-04T00:02:35Z,M
NOK340-1669938420-schedule-0407,159,C,192,100,13.62066,100.53525,2022-12-04T00:03:05Z,M
NOK340-1669938420-schedule-0407,163,C,192,101,13.61568,100.55653,2022-12-04T00:03:30Z,M
NOK340-1669938420-schedule-0407,171,C,198,72,13.61124,100.58709,2022-12-04T00:04:03Z,M
NOK340-1669938420-schedule-0407,175,C,202,60,13.61535,100.60616,2022-12-04T00:04:23Z,M
NOK340-1669938420-schedule-0407,176,C,214,58,13.61664,100.62143,2022-12-04T00:04:39Z,M
NOK340-1669938420-schedule-0407,180,C,226,58,13.64473,100.64251,2022-12-04T00:05:05Z,M
NOK340-1669938420-schedule-0407,184,C,234,59,13.66433,100.67395,2022-12-04T00:05:37Z,M
NOK340-1669938420-schedule-0407,187,C,234,59,13.67394,100.69065,2022-12-04T00:05:55Z,M
NOK340-1669938420-schedule-0407,191,C,240,59,13.69096,100.71871,2022-12-04T00:06:25Z,M
NOK340-1669938420-schedule-0407,196,C,242,59,13.70867,100.75017,2022-12-04T00:06:56Z,M
NOK340-1669938420-schedule-0407,202,C,244,59,13.72779,100.78083,2022-12-04T00:07:29Z,M
NOK340-1669938420-schedule-0407,206,C,244,59,13.74577,100.81256,2022-12-04T00:07:59Z,M
NOK340-1669938420-schedule-0407,212,C,244,59,13.76322,100.84311,2022-12-04T00:08:30Z,M
NOK340-1669938420-schedule-0407,216,C,246,60,13.78135,100.8745,2022-12-04T00:09:02Z,M
NOK340-1669938420-schedule-0407,220,C,248,60,13.80146,100.90927,2022-12-04T00:09:36Z,M
