fa_flight_id,altitude,altitude_change,groundspeed,heading,latitude,longitude,timestamp,update_type
TLM506-1669936380-schedule-0442,6,C,171,209,13.90017,100.59771,2022-12-03T23:20:34Z,A
TLM506-1669936380-schedule-0442,11,C,185,209,13.88812,100.59092,2022-12-03T23:20:50Z,A
TLM506-1669936380-schedule-0442,17,C,180,209,13.87669,100.58457,2022-12-03T23:21:06Z,A
TLM506-1669936380-schedule-0442,23,C,185,251,13.86758,100.57434,2022-12-03T23:21:22Z,A
TLM506-1669936380-schedule-0442,26,C,201,281,13.86726,100.55985,2022-12-03T23:21:38Z,A
TLM506-1669936380-schedule-0442,29,C,221,298,13.87486,100.54351,2022-12-03T23:21:55Z,A
TLM506-1669936380-schedule-0442,32,C,245,296,13.88269,100.52746,2022-12-03T23:22:12Z,A
TLM506-1669936380-schedule-0442,36,C,277,296,13.89514,100.5008,2022-12-03T23:22:36Z,A
TLM506-1669936380-schedule-0442,43,C,288,294,13.9059,100.47674,2022-12-03T23:22:56Z,A
TLM506-1669936380-schedule-0442,56,C,294,295,13.92331,100.4373,2022-12-03T23:23:26Z,A
TLM506-1669936380-schedule-0442,64,C,293,295,13.93737,100.40574,2022-12-03T23:23:51Z,A
TLM506-1669936380-schedule-0442,68,C,291,308,13.95186,100.38345,2022-12-03T23:24:10Z,A
TLM506-1669936380-schedule-0442,75,C,291,309,13.97331,100.35519,2022-12-03T23:24:36Z,A
TLM506-1669936380-schedule-0442,82,C,300,307,13.9983,100.32166,2022-12-03T23:25:06Z,A
TLM506-1669936380-schedule-0442,85,C,300,323,14.01682,100.30238,2022-12-03T23:25:25Z,A
TLM506-1669936380-schedule-0442,96,C,304,326,14.04867,100.28065,2022-12-03T23:25:53Z,A
TLM506-1669936380-schedule-0442,107,C,324,327,14.08671,100.25477,2022-12-03T23:26:24Z,A
TLM506-1669936380-schedule-0442,111,C,349,328,14.11391,100.2368,2022-12-03T23:26:45Z,A
TLM506-1669936380-schedule-0442,117,C,360,338,14.147,100.22117,2022-12-03T23:27:07Z,A
TLM506-1669936380-schedule-0442,126,C,363,338,14.1779,100.20753,2022-12-03T23:27:27Z,A
TLM506-1669936380-schedule-0442,139,C,370,339,14.22578,100.18669,2022-12-03T23:27:57Z,A
TLM506-1669936380-schedule-0442,147,C,376,339,14.25755,100.17344,2022-12-03T23:28:17Z,A
TLM506-1669936380-schedule-0442,160,C,385,339,14.30769,100.15286,2022-12-03T23:28:47Z,A
TLM506-1669936380-schedule-0442,170,C,399,339,14.35876,100.13143,2022-12-03T23:29:17Z,A
TLM506-1669936380-schedule-0442,181,C,408,339,14.41054,100.11031,2022-12-03T23:29:48Z,A
